"","Fecha","ISS_acumulado_China","ISS_diario_China","ISS_acumulado_Espana","ISS_diario_Espana","ISS_acumulado_Italia","ISS_diario_Italia","ISS_acumulado_Francia","ISS_diario_Francia","ISS_acumulado_Alemania","ISS_diario_Alemania","ISS_acumulado_Iran","ISS_diario_Iran","ISS_acumulado_CoreaSur","ISS_diario_CoreaSur","ISS_acumulado_EEUU","ISS_diario_EEUU","ISS_acumulado_Europa","ISS_diario_Europa"
"1",2020-01-22,8.21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,NA
"2",2020-01-23,7.47,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,NA
"3",2020-01-24,6.74,0.05,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,0.5,0,0.5,0,1
"4",2020-01-25,5.76,0.04,NA,NA,NA,NA,0,0.5,NA,NA,NA,NA,0,1,0,1,0,0.5
"5",2020-01-26,5.06,0.04,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,0.5,0,0.25,0,1
"6",2020-01-27,4.87,0.04,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,0.5,0,1,0,1
"7",2020-01-28,4.21,0.03,NA,NA,NA,NA,0,0.5,0,1,NA,NA,0,1,0,1,0,0.17
"8",2020-01-29,4.16,0.04,NA,NA,NA,NA,0,0.5,0,1,NA,NA,0,1,0,1,0,0.33
"9",2020-01-30,3.76,0.03,NA,NA,NA,NA,0,1,0,1,NA,NA,0,1,0,1,0,1
"10",2020-01-31,4.36,0.07,NA,NA,0,1,0,1,0,0.5,NA,NA,0,0.12,0,0.5,0,0.2
"11",2020-02-01,4.49,0.05,NA,NA,0,1,0,0.5,0,0.25,NA,NA,0,0.5,0,0.33,0,0.2
"12",2020-02-02,4.95,0.06,NA,NA,0,1,0,1,0,0.33,NA,NA,0,0.25,0,1,0,0.33
"13",2020-02-03,5.27,0.07,NA,NA,0,1,0,1,0,0.33,NA,NA,0,1,0,0.25,0,0.33
"14",2020-02-04,5.63,0.07,NA,NA,0,1,0,1,0,1,NA,NA,0,0.5,0,1,0,0.5
"15",2020-02-05,6.12,0.09,NA,NA,0,1,0,1,0,1,NA,NA,0,0.25,0,0.5,0,1
"16",2020-02-06,6.9,0.14,NA,NA,0,1,0,1,0,1,NA,NA,0,0.2,0,1,0,1
"17",2020-02-07,7.97,0.17,NA,NA,0,0.5,0,1,0,0.5,NA,NA,4.17,1,0,1,0,0.33
"18",2020-02-08,9.24,0.25,NA,NA,0,1,0,0.17,0,1,NA,NA,4.17,1,0,1,0,0.17
"19",2020-02-09,10.35,0.24,NA,NA,0,1,0,1,0,0.5,NA,NA,12,2,25,4,0,0.5
"20",2020-02-10,11.64,0.32,NA,NA,0,1,0,1,0,1,NA,NA,11.11,0.33,25,1,0,1
"21",2020-02-11,12.95,0.4,NA,NA,0,1,0,1,0,0.33,NA,NA,10.71,0.5,23.08,0.5,0,0.33
"22",2020-02-12,13.85,1.21,NA,NA,0,1,18.18,3,0,1,NA,NA,25,5,23.08,1,9.09,4
"23",2020-02-13,12.67,0.09,NA,NA,0,1,18.18,1,6.25,2,NA,NA,25,1,20,0.33,12.12,2
"24",2020-02-14,14.31,0.3,NA,NA,0,1,18.18,1,6.25,1,NA,NA,25,1,20,1,12.12,1
"25",2020-02-15,16.02,0.71,NA,NA,0,1,41.67,3,6.25,1,NA,NA,32.14,3,20,1,20.59,3
"26",2020-02-16,17.76,0.74,NA,NA,0,1,41.67,1,6.25,1,NA,NA,31.03,0.5,20,1,20.59,1
"27",2020-02-17,19.78,0.94,NA,NA,0,1,41.67,1,6.25,1,NA,NA,33.33,1,20,1,23.53,2
"28",2020-02-18,21.84,1.06,NA,NA,0,1,41.67,1,75,12,NA,NA,38.71,2,20,1,55.88,12
"29",2020-02-19,24.23,4.58,NA,NA,0,1,41.67,1,75,1,100,1,38.71,1,20,1,55.88,1
"30",2020-02-20,26.97,4.75,NA,NA,0,1,41.67,1,75,1,40,0.25,16.35,0.07,20,1,55.88,1
